,text,gpe,country,score,classified
824,They are now harassing Japan over its purchase of 3 uninhabited islands  http://t.co/sPBPxwYY,Japan,Japan,-0.5423,Negative
1734,Syria has been given so much time that much of the things we were going to bomb have been moved into civilian areas!,Syria,Syria,-0.5411,Negative
9387,“The Ukraine controversy continues this morning as new documents obtained by @FoxNews show that a former Ukrainian prosecutor said that he was forced to back off looking into a firm tied to Hunter Biden.” @MariaBartiromo  Does anyone other than Fake News protectors have a doubt?,Ukraine,Ukraine,-0.8225,Negative
726,Now China 'calls in' US diplomats to lecture them on their illegal escapades.,China,China,-0.5574,Negative
1074,The dying NY Daily News put out a false report about my kids not wanting me to criticize Obama...totally false!,Obama,Japan,-0.4389,Negative
859,China is now attacking Japan's economy for leverage http://t.co/KFAhowS7  Soon they will try the same with us.,Japan,Japan,-0.4588,Negative
452,@BarackObama should stop pressuring Israel against attacking Iran and worry how he will stop the Iranian nuclear drive.,Iran,Iran,-0.8934,Negative
6349,Unfortunately no matter how well I do at the Summit if I was given the great city of Moscow as retribution for all of the sins and evils committed by Russia...,Russia,Russia,-0.4404,Negative
969,Don't let Obama play the Iran card in order to start a war in order to get elected--be careful Republicans!,Iran,Iran,-0.6836,Negative
4065,200 dead in Baghdad worst in many years.,Baghdad,Iraq,-0.8555,Negative
1965,Every day Pastor Saeed is imprisoned by Iran is an indictment on Obama’s ‘diplomacy.’ #SaveSaeed,Iran,Iran,-0.4588,Negative
810,Why does US doping agency destroy an American icon @lancearmstrong for events that took place years ago in France?,France,France,-0.5423,Negative
167,Wrong message to send to China.,China,China,-0.4767,Negative
10102,Russia Syria and Iran are killing or on their way to killing thousands of innocent civilians in Idlib Province.,Idlib Province,Syria,-0.8126,Negative
1781,Obama is now warning North Korea on the Yongbyon nuclear reactor http://t.co/8z0K4ULGuy After Syria our enemies are laughing!,Syria,Syria,-0.4003,Negative
2543,Canadian PM Harper immediately called the Ottawa attack terrorism.,Ottawa,Canada,-0.8271,Negative
8964,Our Country has been losing HUNDREDS OF BILLIONS OF DOLLARS a year to China with no end in sight....,China,China,-0.5859,Negative
1297,@tedcruz must be doing something right if @cher sadly rated “the 4th ugliest celebrity” according to @listverse is attacking him.,@listverse,None,-0.8625,Negative
3417,Iran toys with U.S. days before we pay them ridiculously billions of dollars.,Iran,Iran,-0.4215,Negative
3470,It's time for Ted Cruz to either settle his problem with the FACT that he was born in Canada and was a citizen of Canada or get out of race,Canada,Canada,-0.4019,Negative
2064,OBAMA that Russia is the big problem.,Russia,Russia,-0.4019,Negative
2725,Saudi Arabia is in big trouble.,Saudi Arabia,Saudi Arabia,-0.4019,Negative
5919,After a furious year of missile launches and Nuclear testing a historic meeting between North and South Korea is now taking place.,South Korea,South Korea,-0.5719,Negative
5974,The Failing New York Times criticized Secretary of State Pompeo for being AWOL (missing) when in fact he was flying to North Korea.,North Korea,North Korea,-0.8331,Negative
3887,Lyin' Ted Cruz who can never beat Hillary Clinton and has NO path to victory has chosen a V.P.candidate who failed badly in her own effort,V.P.candidate,None,-0.8531,Negative
8839,Many are blaming me and the United States for the problems going on in Hong Kong.,Hong Kong,Hong Kong SAR,-0.4767,Negative
2215,I told all of the haters and losers long ago that Iraq would fall take the OIL or get out fast!,Iraq,Iraq,-0.784,Negative
1714,For all of those fools that want to attack Syria the U.S.has lost the vital element of surprise-so stupid-could be a disaster!,Syria,Syria,-0.8883,Negative
7438,Will devastate Turkey economically if they hit Kurds.,Turkey,Turkey,-0.6249,Negative
7210,....We no longer pay Pakistan the $Billions because they would take our money and do nothing for us Bin Laden being a prime example Afghanistan being another.,Pakistan,Pakistan,-0.3818,Negative
995,...Colin Powell thought Iraq has weapons of mass destruction.,Iraq,Iraq,-0.765,Negative
1920,How does Obama rationalize giving Iran $8B in sanction relief when a Christian pastor is being tortured in an Iranian prison?,Iran,Iran,-0.34,Negative
2564,They finally let our Marine out of a Mexican prison no thanks to Obama.,Obama,Japan,-0.3818,Negative
1729,The terrorists in Syria are calling themselves REBELS and getting away with it because our leaders are so         completely stupid!,Syria,Syria,-0.8978,Negative
9019,Appalachian Trail” who was actually in Argentina for bad reasons....,Argentina,Argentina,-0.5423,Negative
4999,America is proud to stand shoulder-to-shoulder with Poland in the fight to eradicate the evils of terrorism and extremism.,Poland,Poland,-0.8316,Negative
4652,Today there were terror attacks in Turkey Switzerland and Germany - and it is only getting worse.,Turkey,Turkey,-0.8555,Negative
806,@BarackObama is letting the Muslim Brotherhood in Egypt default on their US loans http://t.co/tJPJqsBV  Big mistake!,Egypt,Egypt,-0.4003,Negative
1215,In 2010 alone our trade deficit with China cost over 566000 jobs http://t.co/u9gb8nY9  This is unsustainable for the American worker.,China,China,-0.5719,Negative
5839,Russia vows to shoot down any and all missiles fired at Syria.,Syria,Syria,-0.7184,Negative
4778,I hear by demand a second investigation after Schumer of Pelosi for her close ties to Russia and lying about it.,Russia,Russia,-0.5994,Negative
919,Even with lower profit projections American firms are still throwing money into China http://t.co/xRJlsxqB  Obama is killing investment.,China,China,-0.5719,Negative
154,China is threatening Washington over the currency bill.,China,China,-0.5267,Negative
795,It's Wednesday how much money is China stealing from us today?,China,China,-0.5719,Negative
7444,Russia Iran and Syria have been the biggest beneficiaries of the long term U.S. policy of destroying ISIS in Syria - natural enemies.,Syria,Syria,-0.3612,Negative
905,Obama's '07 speech which @DailyCaller just released not only shows that Obama is a racist but also how the press always covers for him.,Obama,Japan,-0.3612,Negative
1078,The Muslim Brotherhood dictator in Egypt is bad news.,Egypt,Egypt,-0.5423,Negative
1780,Obama is now warning North Korea on the Yongbyon nuclear reactor http://t.co/8z0K4ULGuy After Syria our enemies are laughing!,North Korea,North Korea,-0.4003,Negative
5201,Spoke to President of Mexico to give condolences on terrible earthquake.,Mexico,Mexico,-0.4767,Negative
2456,Pretend that West Africa is Israel and then you will be able to stop the Ebola area flights.,West Africa,Zambia,-0.3818,Negative
5437,It wasn’t the White House it wasn’t the State Department it wasn’t father LaVar’s so-called people on the ground in China that got his son out of a long term prison sentence - IT WAS ME.,China,China,-0.4588,Negative
408,Canada's PM was in China last week brokering a deal to sell the oil @BarackObama rejected in Keystone.,Canada,Canada,-0.5106,Negative
7588,Nothing could be better for the future of Venezuela!,Venezuela,Venezuela,-0.4015,Negative
711,In '08 @BarackObama called Jerusalem Israel's capital http://t.co/JfV7PRHk Now he attacks @MittRomney on Jerusalem http://t.co/kGtwEC7o,Jerusalem,"('Jerusalem', '[[Jerusalem]]')",-0.4404,Negative
1469,Obama’s goal of 1 million electric car sales is a little off by over 910000 http://t.co/qIHVtjEHiz  $100B of our money wasted!,Obama,Japan,-0.5411,Negative
8624,With the incompetent Mayor of London you will never have safe streets!,London,United Kingdom,-0.7002,Negative
2574,We are now sending thousands of additional troops to Iraq to teach them how to fight - they will run billions wasted!,Iraq,Iraq,-0.7263,Negative
4060,Yet another terrorist attack today in Israel -- a father shot at by a Palestinian terrorist was killed while:https://t.co/Cv1HzKVbiT,Israel,Israel,-0.9584,Negative
1924,@RSPBScotland must fight to save the massive bird population which will be devastated by wind turbines in @Aberdeenshire.,@RSPBScotland,United Kingdom,-0.5267,Negative
1440,Our enemy China is illegally buying oil from our enemy Iran http://t.co/HCndC36H2Z China loves it!,Iran,Iran,-0.5562,Negative
7399,Go back to pre-NAFTA before so many of our companies and jobs were so foolishly sent to Mexico.,Mexico,Mexico,-0.5598,Negative
