,text,gpe,country,score,classified
548,We just went through the first month since 2003 where no U.S. soldier was killed in either Afghanistan or Iraq.,Afghanistan,Afghanistan,-0.7717,Negative
549,We just went through the first month since 2003 where no U.S. soldier was killed in either Afghanistan or Iraq.,Iraq,Iraq,-0.7717,Negative
594,No one who works full time in America should have to raise a family in poverty.,America,United States,-0.6705,Negative
602,"Congress left Lori #OutInTheCold with no unemployment insurance: ""This isn't a game.""",Lori,Uganda,-0.6249,Negative
629,I want every young man in America to know that real men donâ€™t hurt women.,America,United States,-0.4767,Negative
655,Virginia was denied by health insurance companies more times than she could count.,Virginia,United States,-0.4404,Negative
661,We've never begrudged success in America.,America,United States,-0.4585,Negative
706,An economic shutdown would be bad news for America's recovery.,America,United States,-0.5423,Negative
709,If the debt ceiling isn't raised by Thursday America could face an economic shutdown.,America,United States,-0.3612,Negative
713,"The @USTreasury Secretary Jack Lew: ""U.S. failure to pay bills hurts everyone"" http://OFA.BO/6DeiffÂ  #EnoughAlready",U.S.,United States,-0.7783,Negative
716,If our changing climate goes unchecked it will have devastating impacts on the United States and the planet.,the United States,United States,-0.3612,Negative
719,"President Obama and China's announcement is ""serious momentum for quick action to cut greenhouse gases"" http://OFA.BO/1LVCÂ  #ActOnClimate",China,China,-0.34,Negative
744,No one who works full-time in America should have to live in poverty.,America,United States,-0.6705,Negative
757,Sea levels are rising due to #climate change potentially threatening U.S. cities: http://OFA.BO/sacMybÂ  We have to #ActOnClimate.,U.S.,United States,-0.5267,Negative
767,Because of #Obamacare Maryland is set to have insurance rates that are among the lowest in U.S.:http://OFA.BO/tNny8HÂ,Maryland,United States,-0.3818,Negative
793,Those who already feel the effects of a changing climate donâ€™t have time to deny itâ€”theyâ€™re busy dealing with it.,™re,France,-0.34,Negative
798,They were heroes... Read President Obama's statement on the firefighter tragedy in Arizona: http://OFA.BO/FyX9ZhÂ,Arizona,United States,-0.6597,Negative
814,Six months ago today 26 families in Newtown were torn apart by gun violenceâ€”and Congress has done nothing.,Newtown,United States,-0.5267,Negative
831,While many in Congress continue to deny the science on #climate change Alaska's Columbia Glacier continues to melt:http://OFA.BO/2eVzRHÂ,Alaska,United States,-0.34,Negative
837,Washington can't get away with ignoring 90% of the country on gun violence prevention.,Washington,United States,-0.8481,Negative
843,"We do deserve a vote.â€� â€”Jillian Soto sister of Victoria Soto a first-grade teacher killed in Newtown https://twitter.com/BarackObama/status/322113384717897728/photo/1pic.twitter.com/jAc1wFIPaDÂ ,https://twitter.com/BarackObama/status/322113384717897728,905,869,
2013/04/10_14:11,https://twitter.com/BarackObama,â€œIâ€™m going to keep asking the American people to stand up and raise their voices because these measures deserve a vote.â€� â€”President Obama,https://twitter.com/BarackObama/status/322094585654427648,951,513,
2013/04/10_14:10,https://twitter.com/BarackObama,Obama: â€œI applaud Senators Manchin and Toomey for their leadership on forging a bipartisan agreement around common-sense background checks.â€�,https://twitter.com/BarackObama/status/322094273812107264,536,305,
2013/04/10_11:56,https://twitter.com/BarackObama,Watch live: First Lady Michelle Obama speaks about youth violence and guns in Chicago.http://ofa.bo/fcrHqgÂ ,https://twitter.com/BarackObama/status/322060443210375168,432,267,
2013/04/09_16:44,https://twitter.com/BarackObama,RT if you agree: All our kids deserve a vote to reduce gun violenceâ€”and #NowIsTheTime for Congress to act.pic.twitter.com/IkAzVC6PyG,https://twitter.com/BarackObama/status/321770744445034496,3056,1027,https://pbs.twimg.com/media/BHcoyYoCYAE4vS5.jpg
2013/04/09_13:24,https://twitter.com/BarackObama,Congress is going to only act if they hear from youâ€”the American people.""",â€œIâ€,Greece,-0.5106,Negative
844,Watch live: President Obama speaks in Connecticut about why Congress needs to act to reduce gun violence.http://wh.gov/liveÂ,Connecticut,United States,-0.34,Negative
850,Watch live: President Obama speaks in Denver about common-sense measures Congress should pass to reduce gun violence.http://wh.gov/liveÂ,Denver,United States,-0.34,Negative
851,FACT: Last decade 3766 people were murdered with guns in Ohioâ€”more than the number of combat deaths in the Iraq war.,Ohioâ€”more,Italy,-0.8859999999999999,Negative
853,FACT: Almost twice as many people were murdered by guns from 2001-2010 in Arizona than killed in combat in Afghanistan.,Arizona,United States,-0.9062,Negative
854,FACT: Almost twice as many people were murdered by guns from 2001-2010 in Arizona than killed in combat in Afghanistan.,Afghanistan,Afghanistan,-0.9062,Negative
855,"New @amprog report finds ""a clear link between weak gun laws & high levels of gun violence"" in the U.S. http://OFA.BO/Er6uz4Â  #DemandAction",U.S.,United States,-0.8481,Negative
861,FACT: Since 1968 more Americans have died from gun violence than in all of America's warsâ€”combined.,America,United States,-0.885,Negative
862,"President Obama: ""Right now we have a real chance to reduce gun violence in America.""",America,United States,-0.6705,Negative
863,FACT: Under Obama U.S. carbon pollution emissions have fallen to their lowest level in nearly 2 decadesâ€”and we need to do more.,U.S.,United States,-0.6249,Negative
864,FACT: Since 1968 more Americans have died from gun violence than in all of America's warsâ€”combined.,America,United States,-0.885,Negative
868,FACT: Since 1968 more Americans have died from gun violence than in all of America's warsâ€”combined.,America,United States,-0.885,Negative
874,Renewing this bill is an important step towards making sure no one in America is forced to live in fear.,America,United States,-0.6486,Negative
876,"'â€� #JobsOverCuts,https://twitter.com/BarackObama/status/306471123091075073,272,114,
2013/02/26_10:23,https://twitter.com/BarackObama,Watch live: President Obama speaks in Virginia about why Congress should prevent severe spending cuts.",Virginia,United States,-0.5719,Negative
878,RT if you agree: Congress should avoid brutal spending cuts and focus on making America a magnet for good jobs.pic.twitter.com/Hr7hDYnb,America,United States,-0.4767,Negative
900,"President Obama: ""By the end of next year our war in Afghanistan will be over.""",Afghanistan,Afghanistan,-0.5994,Negative
901,"President Obama: ""America will complete its mission in Afghanistan and achieve our objective of defeating the core of al Qaeda.""",America,United States,-0.3818,Negative
902,"President Obama: ""America will complete its mission in Afghanistan and achieve our objective of defeating the core of al Qaeda.""",Afghanistan,Afghanistan,-0.3818,Negative
908,FACT: Nearly 40% of U.S. gun sales are made by private unlicensed sellers whose buyers aren't required to pass a federal background check.,U.S.,United States,-0.34,Negative
909,Watch live: President Obama speaks in Minneapolis about his plan to reduce gun violence.,Minneapolis,United States,-0.7579,Negative
927,President Obama on ending the war in Afghanistan and rebuilding America:http://OFA.BO/Urrm5TÂ,Afghanistan,Afghanistan,-0.5994,Negative
928,President Obama on ending the war in Afghanistan and rebuilding America:http://OFA.BO/Urrm5TÂ,America,United States,-0.5994,Negative
929,"President Obama: ""By the end of next year Americaâ€™s war in Afghanistan will be over.",Afghanistan,Afghanistan,-0.5994,Negative
