,text,gpe,country,score,classified
8588,“We all know that AOC and this crowd are a bunch of Communists they hate Israel they hate our own Country they’re calling the guards along our Border (the Border Patrol Agents) Concentration Camp Guards they accuse people who support Israel as doing it for the Benjamin’s....,Israel,Israel,-0.7579,Negative
354,Canada will now sell its oil to China because @BarackObama rejected Keystone.,China,China,-0.5106,Negative
3782,Top suspect in Paris massacre Salah Abdeslam who also knew of the Brussels attack is no longer talking.,Paris,France,-0.6908,Negative
7444,Russia Iran and Syria have been the biggest beneficiaries of the long term U.S. policy of destroying ISIS in Syria - natural enemies.,Syria,Syria,-0.3612,Negative
4552,Today in Florida I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw,Venezuela,Venezuela,-0.3818,Negative
2948,Iran continues to delay the nuclear deal while doing many bad things behind our backs.,Iran,Iran,-0.7184,Negative
1373,China attacked us during the Korean War.,China,China,-0.7845,Negative
5333,It is now commonly agreed after many months of COSTLY looking that there was NO collusion between Russia and Trump.,Russia,Russia,-0.4526,Negative
7528,Worse even than Afghanistan.,Afghanistan,Afghanistan,-0.4767,Negative
403,A day after @BarackObama released a trillion dollar budget deficit he is hosting China's future leader VP XiJinping.,China,China,-0.4019,Negative
7698,The Fake News photoshopped pictures of Melania then propelled conspiracy theories that it’s actually not her by my side in Alabama and other places.,Melania,Italy,-0.7579,Negative
1906,How much longer are we expected to put up with the world's most incompetent     leader - ObamaCare Iran Syria bads deals.,Iran,Iran,-0.5256,Negative
1926,@RSPBScotland @alexsalmond the same man that released Pan Am terrorist for humane reasons will destroy Scotland with grotesque turbines!,Scotland,United Kingdom,-0.8588,Negative
4653,Today there were terror attacks in Turkey Switzerland and Germany - and it is only getting worse.,Switzerland,Switzerland,-0.8555,Negative
2564,They finally let our Marine out of a Mexican prison no thanks to Obama.,Obama,Japan,-0.3818,Negative
8496,That’s right The Trump Foundation gave away 100% plus with Zero rent or expenses charged and has been being sued by Cuomo and New York State for years - another part of the political Witch Hunt.,Cuomo,None,-0.5106,Negative
4161,Our incompetent Secretary of State Hillary Clinton was the one who started talks to give 400 million dollars in cash to Iran.,Iran,Iran,-0.4767,Negative
2374,The first General killed in a combat zone since Vietnam it is a travesty that Obama did not attend Major General Harold Greene’s funeral,Vietnam,Vietnam,-0.9201,Negative
2201,Five U.S. soldiers killed in Afghanistan by so-called friendly fire.,Afghanistan,Afghanistan,-0.5719,Negative
7468,We stopped the last two - many are still in Mexico but can’t get through our Wall but it takes a lot of Border Agents if there is no Wall.,Mexico,Mexico,-0.5023,Negative
4871,Democrats are trying to bail out insurance companies from disastrous #ObamaCare and Puerto Rico with your tax dollars.,Puerto Rico,Puerto Rico,-0.5994,Negative
4988,Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,North Korea,North Korea,-0.5294,Negative
9019,Appalachian Trail” who was actually in Argentina for bad reasons....,Argentina,Argentina,-0.5423,Negative
10609,So the Coronavirus which started in China and spread to various countries throughout the world but very slowly in the U.S. because President Trump closed our border and ended flights VERY EARLY is now being blamed by the Do Nothing Democrats to be the fault of “Trump”.,China,China,-0.8271,Negative
8442,The U.S. request for Iran is very simple - No Nuclear Weapons and No Further Sponsoring of Terror!,Iran,Iran,-0.8897,Negative
7486,The citizens of Venezuela have suffered for too long at the hands of the illegitimate Maduro regime.,Venezuela,Venezuela,-0.4939,Negative
2709,Despite Mexico's interest in again hosting the Miss Universe Pageant it will be because of Rodolfo Rosas Moya that it will never happen.,Mexico,Mexico,-0.4731,Negative
3983,A message of condolences and support regarding the terrorist attacks in Tel Aviv: https://t.co/iulXLEANei,Tel Aviv,Israel,-0.7096,Negative
6963,In 1983 roughly 1800 Marines were in Beirut to keep the peace in a Nation torn apart by Civil War.,Beirut,Lebanon,-0.34,Negative
2409,ICYMI via @foxnewsinsider my @foxandfriends from yesterday on Obama’s dangerous disconnect http://t.co/8a5COQuAG8,Obama,Japan,-0.4767,Negative
2432,Obama administration said that Saudi Arabia was on Syria’s border http://t.co/s4AI85JHSe   Wrong.,Saudi Arabia,Saudi Arabia,-0.4767,Negative
2132,Dennis Rodman was either drunk or on drugs (delusional) when he said I wanted to go to North Korea with him.,North Korea,North Korea,-0.34,Negative
8676,(Highest homicide rate in USA /  @BaltimorePolice civilian employee assaulted in stre…,stre,None,-0.5267,Negative
7737,The Fake News Media is working overtime to blame me for the horrible attack in New Zealand.,New Zealand,New Zealand,-0.9022,Negative
1951,Iran must immediately allow Christian #PastorSaeed out of prison or we should put back sanctions (which should never have been lifted),Iran,Iran,-0.34,Negative
2057,China has just intervened to lower the yuan- in other words they will continue to screw the U.S.!,China,China,-0.4389,Negative
3349,Isn't it amazing that @CNN paid a fortune for an Iowa Poll which shows me in first place over Cruz by 13% 33% to 20% - then doesn't use it,Cruz,Bolivia,-0.4717,Negative
8426,President Obama made a desperate and terrible deal with Iran - Gave them 150 Billion Dollars plus I.8 Billion Dollars in CASH!,Iran,Iran,-0.69,Negative
3066,Looking forward to being with @SenTedCruz at our big rally in D.C. on Wednesday (1:00 P.M. at the Capitol) to protest insane Iran nuke deal!,Iran,Iran,-0.6114,Negative
9300,“Ukraine Foreign Minister disputes reports of any pressure from Trump.,Ukraine,Ukraine,-0.5106,Negative
2601,Iraq should be paying us while we fight ISIS.,Iraq,Iraq,-0.3818,Negative
1816,The new reality China and Japan are warning us not to default http://t.co/LRVaKB6ZiG  Reckless government spending has made us weak.,Japan,Japan,-0.7906,Negative
81,China and OPEC would not be happy.,China,China,-0.4585,Negative
1739,Speaking of our very stupid war with Iraq it is totally disintegrating and Iran (with Russia) will walk in and take it over (lots of oil)!,Russia,Russia,-0.8467,Negative
2033,Do you think John Kerry is aware of the fact that they are building nuclear weapons in Iran and North Korea and  Pakistan already has them!,Pakistan,Pakistan,-0.4926,Negative
8038,RT @realDonaldTrump: I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around fo…,China,China,-0.6899,Negative
10126,Now Iran is orchestrating an attack on the U.S. Embassy in Iraq.,Iran,Iran,-0.4767,Negative
8515,Iran has just issued a New Warning.,New Warning,None,-0.34,Negative
3031,Depression- be careful of China!,China,China,-0.5255,Negative
6197,Crime in Germany is way up.,Germany,Germany,-0.5423,Negative
2397,Any American who fights w/ ISIS in Iraq or Syria should have their passport revoked.,Iraq,Iraq,-0.4019,Negative
2840,Said he would do the disastrous  Iraq war all over again,Iraq,Iraq,-0.8316,Negative
10103,Turkey is working hard to stop this carnage.,Turkey,Turkey,-0.3818,Negative
8057,Therefore China should not retaliate-will only get worse!,China,China,-0.5255,Negative
468,Maniac Sergeant who went on a killing spree in Afghanistan must be punished big time and quickly.,Afghanistan,Afghanistan,-0.8885,Negative
8645,Guatemala has not been good.,Guatemala,Guatemala,-0.3412,Negative
4840,Why would I call China a currency manipulator when they are working with us on the North Korean problem?,China,China,-0.4019,Negative
5277,Results of recovery efforts will speak much louder than complaints by San Juan Mayor.,San Juan Mayor,Puerto Rico,-0.4019,Negative
